waveform_id,mass1,mass2,mass_ratio,symmetric_mass_ratio,delta,chi1z,chi2z,chi_s,chi_a,massf,chifz
SXS:BBH:0290,0.7499993285629996,0.2500006714370004,2.9999892570368463,0.1875003357180494,0.4999986571259991,0.600038321843,0.399948279469,0.5500156769016421,0.3500410000869959,0.9549075108083639,0.806965869892
SXS:BBH:0291,0.7499875403984446,0.2500124596015554,2.9998006563100854,0.187506229645536,0.4999750807968893,0.599962449488,0.599878623389,0.5999414919188102,0.2999872317270522,0.953771029945192,0.812005621071
SXS:BBH:0292,0.7499541228114615,0.2500458771885385,2.9992660996605207,0.18752293648955284,0.4999082456229229,0.731358901349,-0.849301157937,0.33612137028794475,0.760849876355142,0.9559711647684843,0.826624315506
SXS:BBH:0293,0.7499492930289074,0.2500507069710925,2.9991888529857524,0.18752535091434935,0.4998985860578149,0.849987828485,0.84947784932,0.8498603078342511,0.4250352342767528,0.936145891460323,0.91424751368
SXS:BBH:0294,0.7777774835328144,0.2222225164671855,3.499994041547383,0.17283966964217692,0.5555549670656291,2.31274300383e-07,3.53322417139e-07,2.5839614001859916e-07,1.0136374669680473e-07,0.9749322738840511,0.504184017448
SXS:BBH:0295,0.8181814785926697,0.18181852140733035,4.499989727447444,0.1487605466805825,0.6363629571853393,2.095393547e-07,2.92914154429e-07,2.2469843750935907e-07,1.1818400059424066e-07,0.9803573411462256,0.442574290459
SXS:BBH:0304,0.5,0.5,1.0,0.25,0.0,0.499495909662,-0.499492346983,1.7813395000176868e-06,0.4994941283225,0.951414958638133,0.68554938916
SXS:BBH:0305,0.5497934324199515,0.45020656758004857,1.2212026034520165,0.24752061408783976,0.09958686483990219,0.329976580046,-0.43994832522,-0.016648668848199905,0.37948658197157437,0.9520177061754621,0.692085186818
SXS:BBH:0307,0.5511327912872043,0.44886720871279584,1.2278303707407645,0.24738543765517926,0.10226558257440754,0.319971950994,-0.579849149789,-0.08392823485534054,0.43662230382521205,0.9536436121624261,0.673883605893
SXS:BBH:0310,0.5497891458375227,0.45021085416247736,1.2211814547658781,0.24752104095676994,0.09957829167504455,0.000145609380623,9.70591619125e-05,0.00012375154518757072,3.635736880972907e-05,0.952535640343643,0.680979004173
SXS:BBH:0311,0.5425380192257668,0.4574619807742332,1.1859740088292068,0.24819051692034833,0.08507603845153287,0.419942417905,0.380019411669,0.40167916039381735,0.05399029480429837,0.9382402125506306,0.802821983616
SXS:BBH:0312,0.5460744886840943,0.4539255113159058,1.2030046231617464,0.24787714149249934,0.09214897736818696,0.390150308681,-0.479875258678,-0.004776491840345121,0.43087875248618235,0.9514714654146309,0.697209331299
SXS:BBH:0313,0.5490371473889951,0.45096285261100477,1.2174775465654333,0.2475953581759499,0.09807429477799147,0.380153489028,-0.519877052065,-0.025726851220325475,0.443163625592139,0.9520558918825138,0.691789898058
SXS:BBH:0314,0.5511270424604849,0.4488729575395152,1.2278018383675253,0.24738602552924385,0.10225408492096827,0.310072260694,-0.459918925798,-0.03555596046602438,0.3773343764366658,0.9525568840964573,0.686319899068
SXS:BBH:0315,0.559823224776607,0.44017677522339305,1.2718145442646138,0.24642118177732752,0.11964644955321449,0.320013016037,-0.560017849765,-0.06735613256877493,0.4256575697854177,0.9534398474712374,0.679660425548
SXS:BBH:0317,0.7688965549165293,0.23110344508347072,3.3270666070720694,0.17769464275402197,0.5377931098330585,0.522629038036,-0.448249975218,0.29825555331375997,0.5054397803766804,0.9642185969202567,0.746182715979
SXS:BBH:0318,0.5495439019257131,0.4504560980742869,1.2199721665996521,0.24754540178197532,0.09908780385142632,0.330010802199,-0.439871970754,-0.016787587680020505,0.3794984355161668,0.9520091502282185,0.692007653919
SXS:BBH:0325,0.5,0.5,1.0,0.25,0.0,5.55961806257e-05,-0.79973884392,-0.3998416238696872,0.39989722005031286,0.9603499082745123,0.559739367764
SXS:BBH:0326,0.5,0.5,1.0,0.25,0.0,-0.000101040812844,0.799759107702,0.399829033444578,-0.399930074257422,0.9373337507895166,0.802611097803
SXS:BBH:0327,0.5,0.5,1.0,0.25,0.0,0.799781535736,-0.79988844283,-5.345354700003746e-05,0.799834989283,0.9510981103186725,0.684109354192
SXS:BBH:0328,0.5,0.5,1.0,0.25,0.0,0.799792895488,0.799793125851,0.7997930106695,-1.1518150000444649e-07,0.9111905781071752,0.907503340589
SXS:BBH:0329,0.5000001396195262,0.49999986038047395,1.0000005584782603,0.24999999999998057,2.7877519926234645e-07,-0.800507256936,-0.799868497864,-0.8001878774891833,-0.0003196029797044031,0.9665026342625912,0.426723606184
SXS:BBH:0330,0.5000008570644845,0.49999914293551545,1.0000034282638146,0.24999999999926542,1.7141517601930523e-06,-0.800529034589,0.799782857994,-0.0003744598679873423,-0.8001559469310214,0.9511082187986787,0.684007835993
SXS:BBH:0332,0.6666245169871376,0.33337548301286235,1.9996207008462523,0.22223627033880308,0.33324903397427524,0.000215974893051,0.799547772535,0.2666935990194753,-0.2664056507019523,0.9565237929456011,0.66925214656
SXS:BBH:0333,0.6666319354875432,0.3333680645124569,1.9996874519533752,0.22223379807567525,0.3332638709750863,0.800085834633,0.799876487708,0.8000160450538012,0.26670949194132515,0.924796403554154,0.90264436379
SXS:BBH:0334,0.6666450894068302,0.33335491059316974,1.9998058172312685,0.22222941417658953,0.33329017881366063,-0.800616864829,-0.799646010613,-0.8002932258086262,-0.2671613770604632,0.9735115246319727,0.30576202546
SXS:BBH:0335,0.6666474119666795,0.33335258803332046,1.9998267177096114,0.22222864008480778,0.3332948239333592,-0.800515276369,0.799739693408,-0.26706614068065404,-0.8002567337817161,0.9686815057683162,0.410385385715
SXS:BBH:0354,0.6666441037110917,0.3333558962889082,1.9997969471442436,0.22222974269832685,0.3332882074221838,-0.200242586132,0.399964801451,-0.00015991448504490413,-0.2668211642284716,0.9625732539070295,0.582951940559
